"AGEGE24","PCT_BLACK","PCT_HISPANIC","PCT_GRAD_PROF","PCT_BORN_US","MEDIAN_HH_INC","UNEMP_RATE","SD_EARN_WNE_P10","COUNT_WNE_INDEP0_P10","PCT75_EARN_WNE_P6","COUNT_WNE_INDEP0_INC1_P6","COUNT_WNE_MALE0_P6","PCT10_EARN_WNE_P8","COUNT_NWNE_P9","GT_25K_P9","Aggrcluster_labels"
0.079999998,47.97999954,3.789999962,6.860000134,94.73999786,49720.22,4.840000153,25400,1499,36800,442,623,5100,215,0.587837815,1
0.25999999,27.76000023,2.029999971,8.550000191,96.5,55735.22,3.450000048,39200,2332,50800,496,1690,9900,347,0.737268507,2
0.829999983,22.53000069,6.940000057,7.010000229,94.08999634,53683.7,3.599999905,38600,1005.53873317149,47200,246.163120567376,82,5800,41,0.735632181,1
0.289999992,18.97999954,2.549999952,8.909999847,95.26999664,58688.62,3.640000105,33600,895,56900,187,685,12400,152,0.781193495,3
0.109999999,52.31999969,4.090000153,6.760000229,94.52999878,46065.2,4.809999943,21400,1516,32100,613,915,5400,297,0.52983427,1
0.100000001,21.05999947,2.410000086,9.210000038,96.08000183,57928.41,3.25999999,42500,3399,51500,583,2538,11500,321,0.774604082,2
0.419999987,26.89999962,1.00999999,4.550000191,98.84999847,43985.14,3.75999999,23300,405,35600,215,694,6500,151,0.523947775,1
0.610000014,12.26000023,2.400000095,6.170000076,96.95999908,50752.1,3.380000114,27500,255,45100,61,875,9100,108,0.78364116,1
0.319999993,37.20999908,1.620000005,9.090000153,96.84999847,50723.81,3.789999962,26300,882,42900,247,900,8600,176,0.659052432,1
0.07,19.79999924,2.890000105,10.81999969,94.91999817,59005.4,3.140000105,42400,3430,55200,411,1874,13700,394,0.80004859,2
0.02,17.40999985,2.460000038,11.67000008,95.69000244,64789.39,2.839999914,37900,1005.53873317149,48900,24,152,9900,28,0.768907547,3
0.430000007,38.68000031,2.859999895,5.460000038,94.87999725,46908.55,3.599999905,20800,327,34000,230,508,5300,146,0.558399975,1
0.180000007,58.5,1.620000005,5.059999943,97.77999878,38220.7,5.25,18600,254,30500,222,85,5700,111,0.35214448,1
0.730000019,28.55999947,6.610000134,7.849999905,91.06999969,55764.27,3.680000067,31500,434,43500,159,8725,6100,222,0.60914582,3
0.419999987,21.04999924,3.25999999,5.800000191,94.80000305,44274,3.859999895,38000,389,44600,184,422,5300,134,0.511520743,1
0.330000013,20.29999924,1.559999943,6.75,97.33000183,52162.04,3.440000057,26200,877,35500,310,1103,6400,237,0.563405812,1
0.620000005,31.88999939,1.809999943,7.849999905,96.58999634,52330.99,3.920000076,29500,394,44500,81,909,9800,217,0.701713383,1
0.439999998,16.82999992,2.170000076,5.199999809,97.47000122,43919.51,3.460000038,21500,823,33300,552,1435,4900,380,0.515736759,1
0.430000007,27.76000023,1.919999957,5.329999924,97.13999939,43000.16,3.519999981,25700,567,33400,356,949,4400,411,0.507409632,1
0.439999998,6.619999886,2.549999952,4.840000153,97.48999786,47769.34,2.900000095,23900,893,40000,420,1492,5400,386,0.542134821,1
0.349999994,55.31999969,1.110000014,5.380000114,98.68000031,35579.05,5.139999866,19800,435,31500,319,568,4900,204,0.443271756,1
0.639999986,47.15999985,1.679999948,6.679999828,97.38999939,46871.43,4.489999771,27900,234,41000,55,1798,10700,49,0.734299541,1
0.209999993,23.67000008,1.909999967,7.639999866,96.66000366,54037.99,3.289999962,30300,271,45300,31,240,8500,20,0.660633504,1
0.629999995,15.03999996,4.360000134,6.699999809,95.87000275,51048.04,3.220000029,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,11,0.600000024,1
0.649999976,33.29000092,2.180000067,8.350000381,94.81999969,52646.49,4.329999924,20100,114,30300,65,306,3000,84,0.484472036,1
0.239999995,19.70000076,2.660000086,5.869999886,96.69000244,48389.27,3.559999943,25500,1606,40700,425,1396,7600,342,0.661153316,1
0.430000007,28.95999908,1.220000029,4.03000021,98.45999908,40521.77,3.829999924,23600,260,39100,142,301,4300,123,0.540755451,1
0.460000008,26.69000053,1.809999943,7.309999943,97.19000244,57833.36,3.150000095,24100,938,39600,361,1354,5400,324,0.587269008,1
0.479999989,19.37000084,2.549999952,7.880000114,95.73000336,56005.43,3.690000057,24000,1081,36400,404,1794,5700,528,0.53264606,1
0.219999999,24.63999939,2.700000048,5.510000229,97.05000305,46522.29,3.970000029,22400,108,35000,28,2870.90384615385,5500,30,0.603053451,1
0.389999986,64.48999786,1.379999995,5.170000076,98.01000214,40437.86,5.309999943,20200,778,30800,521,1163,4700,251,0.431052089,1
0.209999993,42.47999954,1.710000038,5.190000057,98.01999664,40238.44,4.320000172,26800,516,41500,188,473,8300,73,0.673949599,1
0.389999986,23.57999992,1.179999948,4.300000191,98.34999847,37073.95,4.5,24400,327,33200,186,530,6700,65,0.531976759,1
0.029999999,21.42000008,7.429999828,7.5,92.75,56305.23,3.579999924,27500,1005.53873317149,45000,36,38,7870.1794231206,10,0.755813956,3
0.150000006,60.72000122,2.819999933,5.920000076,96.09999847,43157.79,5.25,20100,688,31700,356,472,4200,125,0.514367819,1
0.400000006,25.10000038,2.319999933,6.710000038,96.81999969,51833.34,3.940000057,25700,325,44500,69,320,8400,82,0.685082853,1
0.159999996,19.29999924,2.079999924,7.920000076,97.08999634,59047.15,2.950000048,23300,586,37400,104,490,7600,93,0.679300308,1
0.349999994,11.15999985,2.230000019,5.139999866,97.94999695,43283.31,3.339999914,23600,908,35300,442,914,4500,427,0.515469909,1
0.189999998,13.22000027,2.049999952,5.980000019,97.55000305,48189.09,3.390000105,33500,1088,40600,274,848,8300,174,0.670354009,1
0.479999989,2.569999933,2.869999886,3.619999886,97.59999847,43126.73,3.279999971,23000,407,36300,214,822,6300,170,0.552857161,1
0.129999995,34.90999985,10.01000023,8.68999958,86.44999695,60906.45,4.25,33800,427,35300,87,295,4400,62,0.621621609,3
0.319999993,46.15000153,0.939999998,4.360000134,99.01000214,37664.25,4.820000172,29200,349,32700,257,400,4700,164,0.431404948,1
0.529999971,36.54000092,0.930000007,3.789999962,98.88999939,36356.31,4.710000038,20900,155,34200,97,272,5600,153,0.405172408,1
0.439999998,46.38000107,1.25,5.619999886,97.5,41748.26,5.159999847,21600,810,31300,557,720,3800,519,0.436431617,1
0.129999995,14.69999981,3.25,10.93999958,94.63999939,69602.13,2.680000067,47300,570,52300,71,391,11900,91,0.778505921,2
0.310000002,36.84999847,1.350000024,7.059999943,97.80000305,43868.43,4.019999981,31000,1065,35400,627,984,5000,426,0.465156794,1
0.439999998,4.289999962,5.590000153,4.369999886,95.5,42881.33,3.460000038,21700,321,34900,199,538,4900,147,0.494827598,1
0.319999993,24.68000031,1.700000048,7.28000021,96.5,51919.71,3.900000095,45500,1807,46400,454,1921,8600,386,0.70538348,1
0.129999995,22.54000092,4.75,9.760000229,93.87999725,59048.32,3.569999933,39500,346,46800,57,256,11100,42,0.788461566,3
0.07,49.04999924,4.440000057,6.579999924,94.80999756,46186.31,4.809999943,58200,395,32400,148,264,5000,119,0.469096661,1
0.119999997,52.13999939,4.710000038,6.019999981,94.65000153,44867.28,5.199999809,16600,1005.53873317149,31000,68,146,1900,44,0.492307693,1
0.529999971,53.68000031,1.200000048,7.659999847,97.51000214,44608.65,4.349999905,20500,245,32100,152,421,4600,111,0.426086962,1
0.579999983,34,2.819999933,7.369999886,95.61000061,49132.68,3.849999905,33300,1785,44100,557,3934,9700,485,0.692106128,1
0.02,47.15999985,8.989999771,7.809999943,89.73999786,54155.29,4.849999905,30400,711,46400,198,425,8500,81,0.665000021,1
0.75999999,16.70999908,9.050000191,8.239999771,91.05999756,59896.36,3.549999952,29139.2573970219,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,0,0.602409554380489,1
0.449999988,15.53999996,1.120000005,3.930000067,98.62000275,41185.71,3.829999924,22400,752,37100,461,1171,4300,529,0.490861624,1
0.439999998,4.179999828,5.090000153,8.289999962,91.75,72116.59,5.21999979,38000,1259,55300,241,1531,8500,451,0.707132041,2
0.360000014,4.679999828,4.679999828,8.890000343,93.38999939,65084.81,6.559999943,44100,599,48300,123,611,5700,199,0.674017251,2
0.479999989,1.350000024,4.619999886,9.539999962,92.97000122,73622.06,5.21999979,27700,161,49700,24,223,5300,62,0.665573776,3
0.430000007,4.449999809,6.889999866,9.18999958,91.33000183,70542.98,4.71999979,31100,72,49600,18,106,9000,15,0.737931013,3
0.540000021,1.700000048,2.680000067,6.28000021,95.19999695,62883.46,8.420000076,38800,68,61500,24,42,4800,25,0.516483545,2
0.730000019,5.860000134,5.849999905,9.06000042,90.08999634,75163.69,4.920000076,33400,83,40800,246.163120567376,753,4600,87,0.733727813,3
0.629999995,5.820000172,5.610000134,8.229999542,90.5,69860.72,5.53000021,21100,73,38700,31,404,3400,91,0.582491577,3
0.479999989,3.200000048,32.81999969,9.210000038,85.95999908,52261.19,3.25999999,22400,124,29000,62,358,2200,82,0.393129766,1
0.970000029,5.559999943,11.31999969,14.14999962,86.62999725,71245.67,3.289999962,111400,1005.53873317149,119800,246.163120567376,40,39800,15,0.941176474,2
0.920000017,6.909999847,26.65999985,5.610000134,82.05999756,57768.8,3.980000019,22600,39,44200,19,128,5500,217,0.588709652,1
0.5,3.390000105,32.29999924,6.980000019,85.55000305,53686.19,3.980000019,21000,1046,36500,520,3964,4400,498,0.542428195,1
0.417103848089873,12.7999290103605,13.0713443534182,7.86050931752731,88.9452664992068,58099.0155001075,3.84046246857668,21000,1046,36500,520,3964,4400,498,0.542428195,1
0.417103848089873,12.7999290103605,13.0713443534182,7.86050931752731,88.9452664992068,58099.0155001075,3.84046246857668,21000,1046,36500,520,3964,4400,498,0.542428195,1
0.479999989,1.919999957,14.60999966,6.739999771,92.62999725,45219.99,6.809999943,23200,91,30200,65,294,1900,9,0.602409554380489,1
0.540000021,3.99000001,35.88999939,7.25,84.83999634,47198.06,3.369999886,16900,27,42605.7426151622,246.163120567376,2870.90384615385,3600,29,0.353658527,1
0.460000008,4.519999981,35.18000031,5.239999771,80.95999908,52276.12,4.960000038,30200,561,34700,190,54,5000,149,0.604895115,1
0.560000002,4.059999943,40.72999954,6.099999905,83.72000122,50758.42,3.980000019,17200,302,29500,182,1785,3000,683,0.455460489,1
